Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8/23,Friday,12.05,Redwood Skyline,Food,Credit,Need
8/23,Friday,15.87,Andersen Bakery,Food,Credit,Need
8/23,Friday,3.96,Trader Joe's,Food,Credit,Want
8/23,Friday,7.76,Salt and Straw,Food,Credit,Want
8/24,Saturday,160.26,Izakaya Food,Food,Credit,Want
8/25,Sunday,11.18,Trader Joe's,Food,Credit,Need
8/25,Sunday,38.24,Mollie Stone's,Food,Credit,Want
8/25,Sunday,179.30,REI,Entertainment and Recreation,Credit,Want
8/25,Sunday,30.00,REI,Entertainment and Recreation,Credit,Need
8/26,Monday,6.10,CSM Bookstore,Food,Credit,Need
8/26,Monday,13.14,Redwood Skyline,Food,Credit,Need
8/27,Tuesday,20.19,Los Moreno,Food,Credit,Need
8/27,Tuesday,3.84,Los Moreno,Food,Credit,Want
8/27,Tuesday,26.55,Trader Joe's,Food,Credit,Need
8/27,Tuesday,.93,Trader Joe's,Food,Credit,Want
8/27,Tuesday,141.09,REI,Entertainment and Recreation,Credit,Want
8/28,Wednesday,6.05,CSM Bookstore,Food,Credit,Want
8/28,Wednesday,3.50,CSM Bookstore,Food,Credit,Want
8/28,Wednesday,12.99,Redwood Skyline,Food,Credit,Need
8/28,Wednesday,13.14,Redwood Skyline,Food,Credit,Need
8/28,Wednesday,4.90,CSM Bookstore,Food,Credit,Need
8/28,Wednesday,9.82,Trader Joe's,Food,Credit,Need
8/28,Wednesday,2.25,Movement,Food,Credit,Want
8/28,Wednesday,70.00,Econo Gas,Travel,Credit,Need
8/29,Thursday,15.76,7-Eleven,Food,Credit,Want
8/29,Thursday,.93,Trader Joe's,Food,Credit,Want
8/29,Thursday,13.81,Trader Joe's,Food,Credit,Want
8/29,Thursday,10.98,Trader Joe's,Food,Credit,Need
8/30,Friday,13.14,Redwood Skyline,Food,Credit,Need
8/30,Friday,14.60,Andersen Bakery,Food,Credit,Need
8/31,Saturday,5.50,Movement,Food,Credit,Want
8/31,Saturday,24.68,Los Moreno,Food,Credit,Need
8/31,Saturday,1.88,Trader Joe's,Food,Credit,Want
9/1,Sunday,8.75,Amazon,Entertainment and Recreation,Credit,Want
9/1,Sunday,4.39,Trader Joe's,Food,Credit,Need
9/1,Sunday,184.28,Movement,Entertainment and Recreation,Credit,Want
9/1,Sunday,34.45,Trader Joe's,Food,Credit,Need
9/2,Monday,185.83,Marafuku Ramen,Food,Credit,Need
9/2,Monday,3.52,Nijiya Market,Food,Credit,Want
9/2,Monday,9.25,Mitchell's Ice Cream,Food,Credit,Want
9/3,Tuesday,87.42,Thermoworks,Entertainment and Recreation,Credit,Want
9/4,Wednesday,9.61,CSM Bookstore,Food,Credit,Want